-82	1106	15929	-19	112	-19	0
-77	1131	15916	-5	105	-9	0
-72	1111	15988	-4	99	-4	0
-88	1141	15906	17	94	-15	0
-103	1140	15931	-9	102	-18	0
-64	1190	15937	16	83	-21	0
-44	1173	15959	99	63	-36	0
-81	1136	16007	170	50	-36	0
-159	1111	16025	209	19	-26	0
-148	1079	16055	219	8	-11	0
-58	1047	16097	190	44	-32	0
-60	1038	16125	123	79	-40	0
-91	1056	16098	34	91	-17	0
-153	1083	16053	-30	108	-1	0
-148	1107	15979	-81	117	0	0
-112	1140	15994	-79	139	-29	0
-81	1141	15949	-110	165	-37	0
-51	1141	15893	-112	167	-36	0
-93	1152	15900	-86	144	-33	0
-95	1185	15848	-55	124	-22	0
-80	1172	15872	-9	87	-21	0
-78	1142	15885	96	73	-33	0
-76	1126	15897	129	53	-46	0
-74	1112	15956	179	42	-59	0
-118	1112	15969	204	36	-60	0
-132	1085	16041	193	14	-52	0
-128	1082	16040	168	29	-35	0
-116	1075	16099	178	44	-31	0
-104	1063	16131	144	66	-28	0
-81	1055	16131	104	102	-30	0
-108	1063	16108	59	119	-30	0
-102	1070	16107	-3	125	-14	0
-100	1078	16010	-50	139	-14	0
-94	1108	15986	-76	157	-34	0
-86	1109	15953	-112	170	-18	0
-90	1133	15952	-116	167	-16	0
-72	1165	15916	-87	170	-21	0
-66	1162	15939	-38	139	-18	0
-74	1147	15872	16	104	-15	0
-63	1163	15889	41	108	-32	0
-66	1162	15959	64	96	-44	0
-65	1145	15962	126	82	-40	0
-91	1130	15986	157	76	-42	0
-109	1105	16058	158	61	-33	0
-107	1081	16011	160	67	-33	0
-80	1085	16022	122	89	-36	0
-85	1068	16026	78	91	-35	0
-76	1079	16004	29	92	-12	0
-125	1092	16008	11	110	4	0
-102	1083	16023	21	109	-13	0
-81	1062	15962	52	108	-42	0
-60	1063	15948	27	115	-32	0
-84	1054	15919	-2	117	-13	0
-74	1066	15892	-37	133	-16	0
-49	1102	15875	-51	146	-24	0
-78	1114	15827	-57	136	-11	0
-78	1138	15825	-16	130	-30	0
-98	1170	15826	-8	131	-21	0
-93	1169	15868	17	102	-32	0
-61	1196	15887	68	81	-40	0
-61	1190	15948	139	60	-42	0
-103	1160	15979	201	38	-36	0
-92	1148	16039	262	25	-37	0
-63	1106	16071	245	18	-47	0
-61	1081	16101	214	43	-45	0
-90	1063	16100	157	37	-29	0
-126	1054	16134	81	55	-7	0
-88	1063	16085	22	96	-15	0
-86	1068	16033	-23	140	-35	0
-77	1073	15993	-94	172	-24	0
-93	1112	15928	-123	180	-16	0
-79	1124	15889	-147	173	-5	0
-46	1142	15868	-133	173	-9	0
-50	1134	15809	-74	133	-20	0
-57	1165	15844	-17	116	-36	0
-86	1175	15862	32	88	-24	0
-100	1148	15867	105	60	-36	0
-73	1163	15927	179	41	-39	0
-83	1107	16018	211	38	-35	0
-106	1108	16010	233	9	-32	0
-101	1086	16048	234	24	-42	0
-71	1064	16084	171	42	-37	0
-86	1051	16066	109	51	-25	0
-94	1085	16061	68	65	-23	0
-131	1076	16068	-4	90	-24	0
-102	1088	16000	-41	102	-21	0
-90	1116	15960	-81	135	-36	0
-93	1154	15913	-115	146	-16	0
-80	1167	15891	-106	142	-5	0
-67	1188	15862	-84	136	-10	0
-78	1171	15902	-39	119	-12	0
-53	1171	15877	44	91	-28	0
-59	1162	15904	99	59	-33	0
-67	1145	15954	138	46	-24	0
-70	1118	15996	158	43	-21	0
-94	1098	16013	175	24	-21	0
-107	1067	16036	181	18	-23	0
-99	1064	16039	162	26	-30	0
-94	1059	16021	122	57	-25	0
-85	1047	16071	57	79	-20	0
-80	1055	16056	7	103	-17	0
-89	1075	16011	-28	124	-20	0
-90	1095	15951	-62	129	-26	0
-74	1127	15943	-50	136	-24	0
-73	1133	15934	-59	135	-26	0
-82	1143	15898	-46	127	-25	0
-91	1169	15886	-28	112	-19	0
-91	1165	15896	8	82	-31	0
-72	1154	15893	54	74	-23	0
-61	1154	15936	109	66	-45	0
-65	1146	15958	106	50	-32	0
-77	1137	15977	129	59	-17	0
-99	1120	15999	135	58	-36	0
-91	1106	16005	122	57	-29	0
-92	1092	16009	108	47	-22	0
-121	1082	16012	88	60	-29	0
-114	1083	15989	48	78	-24	0
-94	1088	15997	28	86	-18	0
-76	1097	15963	-10	83	-33	0
-75	1086	15975	-17	87	-25	0
-93	1108	15953	-27	83	-11	0
-82	1122	15900	-4	90	-20	0
-74	1122	15925	8	87	-28	0
-73	1128	15920	13	81	-10	0
-101	1146	15892	9	61	-18	0
-83	1153	15995	33	51	-26	0
-69	1148	15943	78	37	-19	0
-78	1145	15927	105	41	-39	0
-94	1123	15989	102	50	-35	0
-97	1113	15978	97	45	-20	0
-94	1110	15993	103	52	-30	0
-41	1059	15983	85	50	-46	0
11	838	15729	35	42	-32	0
-207	1302	16002	-181	65	1	0
-245	1289	15890	-174	135	23	0
-53	1264	16017	22	118	-54	0
82	1065	15920	214	26	-97	0
-33	1061	16046	288	-57	-18	0
-300	1159	16140	317	-60	22	0
-281	1362	16430	374	28	-39	0
64	1103	16422	513	38	-145	0
182	780	16330	570	-84	-129	0
-151	718	16219	312	-91	19	0
-509	997	16175	-76	79	115	0
-250	1138	16155	-356	279	-16	0
185	1065	16013	-504	370	-146	0
