5	668	16061	67	83	-31	0
-31	668	16020	42	87	-21	0
-62	657	16041	43	83	-16	0
-54	625	16023	73	76	-8	0
-90	629	15969	79	69	-7	0
-73	606	16013	76	66	-12	0
-98	636	16047	60	56	-22	0
-85	626	16033	54	66	-9	0
-88	616	16010	48	70	-20	0
-71	592	15990	62	57	-20	0
-92	574	15994	57	35	-3	0
-122	606	16016	63	41	-1	0
-87	638	16003	40	74	-13	0
-42	633	16002	52	103	-24	0
-20	639	15977	72	110	-28	0
-39	609	16032	84	92	-19	0
-41	618	16031	103	84	-29	0
-19	643	16010	107	99	-38	0
36	681	16026	72	113	-35	0
43	685	16008	56	100	-38	0
39	761	15990	46	76	-24	0
72	660	16018	45	78	-32	0
51	691	15967	78	77	-24	0
57	666	16008	101	96	-35	0
92	672	15999	79	102	-25	0
73	722	16032	69	101	-31	0
35	748	16001	55	98	-30	0
84	709	16044	40	101	-43	0
88	704	15974	62	74	-39	0
94	671	15993	96	96	-57	0
102	672	16018	91	98	-37	0
65	683	16040	80	72	-27	0
48	713	16071	57	71	-12	0
54	724	16014	35	79	-4	0
69	690	15961	61	67	-33	0
70	675	15967	68	77	-30	0
43	644	15993	79	64	-17	0
16	661	16016	95	74	-23	0
11	648	16022	77	83	-12	0
-4	653	16025	53	69	-2	0
-8	669	15968	60	48	-13	0
-2	663	16023	56	67	-14	0
-27	627	15961	53	58	-17	0
-38	652	16005	58	61	-6	0
-26	618	16001	66	55	-6	0
-54	637	15999	73	57	-11	0
-43	630	16022	60	79	-20	0
-44	656	16015	35	79	-18	0
-46	636	16001	48	81	-16	0
-56	624	15999	64	83	-27	0
-41	614	16020	73	89	-39	0
-19	611	15992	70	77	-27	0
-5	638	16006	78	72	-30	0
-33	652	15998	50	61	-34	0
-23	667	15983	47	78	-38	0
6	682	15992	60	96	-22	0
-12	647	15989	73	99	-18	0
4	665	15994	80	107	-26	0
21	663	15985	96	113	-30	0
13	680	16014	62	109	-20	0
38	683	16002	52	92	-43	0
57	682	16013	53	100	-52	0
24	692	16028	58	86	-37	0
73	692	15984	72	83	-34	0
54	680	15998	74	88	-36	0
36	676	15988	63	86	-32	0
66	684	16012	73	104	-38	0
48	695	16028	53	94	-24	0
68	678	16075	34	81	-12	0
49	683	15987	68	65	-15	0
54	670	16006	77	74	-18	0
68	667	16011	72	93	-26	0
32	698	16007	71	93	-23	0
46	672	16002	62	83	-25	0
24	687	16042	39	78	-21	0
40	665	15982	59	64	-16	0
25	664	16002	53	63	-28	0
11	655	16004	61	67	-24	0
14	640	16000	58	70	-23	0
8	654	16013	55	80	-9	0
-1	646	16021	46	73	-21	0
-2	664	16004	63	62	-25	0
1	642	15984	36	77	-36	0
25	658	16009	43	84	-37	0
1	641	16008	35	82	-24	0
3	663	16015	48	86	-35	0
-13	671	16013	51	88	-33	0
-8	674	16004	62	82	-48	0
-26	647	16018	40	90	-32	0
-43	641	16019	33	88	-20	0
-29	632	16015	52	87	-37	0
-54	617	15990	52	80	-41	0
-69	643	15971	52	70	-27	0
-51	633	16003	59	75	-24	0
-57	649	16008	32	85	-25	0
-59	647	16006	37	100	-25	0
-50	662	15982	41	100	-27	0
-48	644	16015	52	95	-20	0
-42	647	15968	75	95	-33	0
-39	664	16017	80	99	-34	0
-19	645	16018	56	112	-25	0
-16	669	16008	49	90	-19	0
-12	660	16013	54	83	-16	0
-1	657	16006	46	85	-6	0
14	681	15993	55	69	-2	0
16	689	15993	61	88	-23	0
38	674	16008	59	83	-26	0
39	669	16025	54	86	-15	0
61	683	16022	64	99	-18	0
57	663	16066	62	100	-25	0
57	682	15971	70	72	-14	0
60	672	16008	65	89	-22	0
73	673	16027	65	94	-26	0
54	681	15992	54	96	-10	0
94	678	16003	60	92	-2	0
63	683	16065	42	69	4	0
83	677	16008	57	52	-4	0
