568	205	16007	81	70	-19	7
540	191	15955	85	88	-16	7
550	217	15990	77	83	-16	7
530	187	15971	63	85	-28	7
554	182	15990	82	95	-20	7
549	173	15965	92	87	-22	7
555	211	15989	96	84	-42	7
545	194	15963	61	82	-21	7
533	193	15966	71	89	-22	7
549	198	15991	86	92	-12	7
546	199	15970	83	91	-19	7
539	192	15985	89	64	-20	7
552	195	15982	104	74	-34	7
559	214	15968	75	87	-29	7
566	191	15998	84	80	-27	7
551	191	15971	96	79	-21	7
527	213	16001	90	81	-23	7
561	159	15970	82	70	-27	7
566	191	15999	94	78	-29	7
563	203	15982	86	102	-21	7
537	185	15981	80	92	-18	7
571	206	16000	77	92	-21	7
554	190	16025	91	88	-25	7
543	197	15988	94	67	-13	7
550	194	15988	95	76	-23	7
534	195	15938	86	94	-14	7
530	202	15964	86	90	-18	7
533	214	15993	83	70	-14	7
556	206	16043	79	72	-13	7
533	179	15967	90	58	-23	7
540	181	16020	93	89	-26	7
526	201	15997	63	99	-16	7
532	206	15989	73	92	-21	7
527	197	15990	80	87	-17	7
545	207	16023	83	92	-29	7
527	207	15955	93	66	-29	7
536	219	15997	96	85	-19	7
537	198	15972	92	84	-24	7
536	205	15979	93	85	-11	7
552	197	16002	82	95	-16	7
573	189	15981	95	93	-18	7
562	194	16005	99	70	-18	7
554	205	15997	81	90	-30	7
542	189	15987	86	97	-20	7
559	202	16003	75	97	-12	7
553	201	15989	81	85	-17	7
549	204	15994	85	92	-22	7
535	200	15980	92	79	-41	7
532	196	15985	87	88	-31	7
524	202	15968	71	85	-15	7
544	208	15963	73	79	-22	7
549	182	15960	79	92	-19	7
562	198	15967	91	83	-18	7
542	215	15989	109	87	-30	7
552	204	15993	85	87	-21	7
542	196	15973	84	91	-14	7
540	198	15978	66	87	-17	7
543	218	15977	66	88	-16	7
541	173	15968	101	79	-22	7
540	194	15946	104	95	-45	7
533	206	16001	98	99	-10	7
548	212	16001	95	105	-13	7
556	206	16012	84	98	-23	7
549	213	16008	77	92	-24	7
559	188	15998	92	76	-29	7
523	216	15990	82	81	-34	7
523	205	15977	62	97	-22	7
569	186	15997	71	88	-21	7
539	196	15967	64	93	-14	7
554	188	16043	82	86	-18	7
556	192	16002	93	81	-30	7
543	189	15983	76	78	-30	7
543	200	16000	77	78	-14	7
550	193	15977	84	87	-10	7
560	196	16001	94	102	-15	7
548	200	16027	78	87	-14	7
548	207	15993	83	66	-15	7
543	193	15977	91	82	-27	7
537	188	16006	81	92	-15	7
549	182	15972	88	100	-24	7
572	186	15993	93	92	-34	7
558	161	16022	82	97	-31	7
564	203	15982	87	84	-29	7
539	198	15968	81	79	-15	7
523	203	15966	67	83	-15	7
538	198	15980	68	91	-31	7
533	178	16011	78	90	-26	7
542	193	15999	80	85	-18	7
540	187	16007	107	79	-27	7
551	199	16001	80	94	-18	7
554	202	16009	71	83	-21	7
509	209	15980	72	91	-29	7
556	183	15979	67	90	-13	7
526	200	15945	78	84	-12	7
541	202	15991	97	91	-40	7
554	211	15989	86	92	-28	7
541	209	15983	86	83	-30	7
542	202	16011	70	84	-29	7
531	201	16026	79	80	-22	7
553	204	15980	95	68	-27	7
533	186	15982	90	81	-24	7
557	205	15960	72	92	-22	7
537	205	15999	70	86	-10	7
539	206	15996	76	84	2	7
542	189	15995	80	97	-19	7
538	202	15966	88	81	-19	7
535	205	15984	100	88	-27	7
523	209	15979	77	86	-32	7
559	198	15988	82	89	-31	7
542	200	15985	89	84	-21	7
562	211	16028	89	86	-18	7
549	201	15987	92	78	-30	7
547	189	16006	94	86	-29	7
539	190	15976	91	88	-12	7
538	208	15995	68	79	-16	7
548	200	15971	72	83	-20	7
532	210	16012	86	85	-31	7
555	202	15989	87	69	-21	7
539	199	15989	91	79	-24	7
541	193	15996	84	88	-26	7
547	176	15971	69	76	-23	7
541	211	15997	83	84	-34	7
563	173	16037	82	76	-38	7
535	184	15981	103	84	-44	7
544	180	15984	93	85	-37	7
535	193	15995	71	86	-26	7
555	197	15997	86	80	-25	7
547	194	15997	82	84	-23	7
538	198	15974	69	90	-19	7
520	197	15967	91	66	-29	7
559	200	15988	86	83	-24	7
535	189	15967	85	93	-21	7
545	200	15978	89	95	-23	7
558	204	16011	80	69	-5	7
545	185	15977	71	67	-9	7
521	191	15980	86	78	-41	7
539	203	16019	87	95	-25	7
525	209	15954	90	86	-12	7
549	190	15994	91	90	-31	7
553	193	15977	81	91	-28	7
538	192	15975	55	78	-22	7
558	197	16000	96	85	-32	7
547	197	15975	102	90	-18	7
541	189	15977	95	90	-18	7
541	185	16001	73	95	-20	7
558	207	15969	68	101	-21	7
543	196	15960	82	69	-22	7
540	203	15983	92	57	-25	7
556	202	15998	74	77	-17	7
529	177	15995	75	82	-24	7
540	195	15988	92	68	-22	7
560	208	16004	82	70	-15	7
553	190	15998	94	70	-36	7
556	202	15984	103	74	-34	7
535	207	16007	86	87	-17	7
566	207	16008	83	73	-22	7
546	199	16011	78	84	-23	7
566	200	16034	71	76	-38	7
536	207	15967	70	75	-30	7
530	207	15977	88	94	-32	7
561	205	15970	83	95	-11	7
532	181	15957	80	99	-19	7
